,first_name,last_name,email,gender,city,country,address,id_cliente,id_producto,fecha_venta,cantidad,total,id,nombre_producto,categoría,precio,origen,descripción
0,Cheri,Dunsmore,cdunsmore0@instagram.com,Female,Palma De Mallorca,Spain,076 Rockefeller Crossing,,,,,,,,,,,
1,Hunt,Bartomeu,hbartomeu1@nsw.gov.au,Male,Lugo,Spain,0046 Utah Junction,,,,,,,,,,,
2,Michaeline,Paynton,mpaynton2@narod.ru,Female,,Spain,0 Corry Crossing,,,,,,,,,,,
3,Filmer,Eirwin,feirwin3@intel.com,,Leon,Spain,5 American Ash Road,,,,,,,,,,,
4,Tanhya,Lubbock,tlubbock4@huffingtonpost.com,Female,"Hospitalet De Llobregat, L'",Spain,9289 Merry Circle,,,,,,,,,,,
5,Stacy,Minchinton,sminchinton5@ameblo.jp,Male,Palma De Mallorca,Spain,4 Meadow Vale Way,,,,,,,,,,,
6,Harv,Sandes,hsandes6@who.int,Male,Lleida,Spain,20 Menomonie Circle,,,,,,,,,,,
7,Aubree,Jirsa,,Female,Santander,,8294 Schurz Court,,,,,,,,,,,
8,Tymon,Darragh,tdarragh8@free.fr,Male,,Spain,41 Trailsway Way,,,,,,,,,,,
9,Igor,Dwelley,idwelley9@flickr.com,Male,Lugo,Spain,,,,,,,,,,,,
10,Chase,Godilington,cgodilingtona@spiegel.de,Male,,,13 Bluestem Court,,,,,,,,,,,
11,Viola,Maggiore,vmaggioreb@cpanel.net,Female,Malaga,,57 Chinook Hill,,,,,,,,,,,
12,Maegan,Miner,mminerc@guardian.co.uk,Female,Malaga,Spain,0016 Corben Place,,,,,,,,,,,
13,Elena,Crummey,ecrummeyd@imgur.com,,Valladolid,,76694 Sherman Street,,,,,,,,,,,
14,Cyndy,Toothill,ctoothille@canalblog.com,Female,Lleida,Spain,1165 Erie Point,,,,,,,,,,,
15,Lionello,Shelborne,lshelbornef@e-recht24.de,Male,Murcia,Spain,21845 Holy Cross Terrace,,,,,,,,,,,
16,Yance,Martinetto,,Male,Pamplona/Iruña,Spain,4 Anthes Pass,,,,,,,,,,,
17,Lauren,Grime,lgrimeh@illinois.edu,Male,Pamplona/Iruña,Spain,0 Darwin Circle,,,,,,,,,,,
